fold_id,sampling,model_name,tn,fp,fn,tp,accuracy,precision,recall,f1_score,roc_auc,rb_recall,feature_set
2,baseline,random_forest_classifier,129,11,16,55,0.8720379146919431,0.8333333333333334,0.7746478873239436,0.8029197080291971,0.928672032193159,0.7746478873239436,top_ranked
2,baseline,feedforward_neural_network,128,12,24,47,0.8293838862559242,0.7966101694915254,0.6619718309859155,0.7230769230769231,0.8907444668008049,0.6619718309859155,top_ranked
2,smote,logistic_regression,112,28,11,60,0.8151658767772512,0.6818181818181818,0.8450704225352113,0.7547169811320755,0.8782696177062375,0.8450704225352113,top_ranked
2,smote,random_forest_classifier,127,13,12,59,0.8815165876777251,0.8194444444444444,0.8309859154929577,0.8251748251748252,0.9293259557344064,0.8309859154929577,top_ranked
2,smote,feedforward_neural_network,131,9,17,54,0.8767772511848341,0.8571428571428571,0.7605633802816901,0.8059701492537313,0.9160965794768611,0.7605633802816901,top_ranked
3,baseline,logistic_regression,125,15,14,57,0.8625592417061612,0.7916666666666666,0.8028169014084507,0.7972027972027972,0.9289738430583501,0.8028169014084507,top_ranked
3,baseline,random_forest_classifier,124,16,17,54,0.8436018957345972,0.7714285714285715,0.7605633802816901,0.7659574468085106,0.9290744466800804,0.7605633802816901,top_ranked
3,baseline,feedforward_neural_network,127,13,17,54,0.8578199052132701,0.8059701492537313,0.7605633802816901,0.782608695652174,0.9237424547283702,0.7605633802816901,top_ranked
3,smote,logistic_regression,111,29,7,64,0.8293838862559242,0.6881720430107527,0.9014084507042254,0.7804878048780488,0.9312877263581489,0.9014084507042254,top_ranked
3,smote,random_forest_classifier,125,15,15,56,0.8578199052132701,0.7887323943661971,0.7887323943661971,0.7887323943661971,0.9279678068410463,0.7887323943661971,top_ranked
3,smote,feedforward_neural_network,115,25,13,58,0.8199052132701422,0.6987951807228916,0.8169014084507042,0.7532467532467533,0.9064386317907444,0.8169014084507042,top_ranked
4,baseline,logistic_regression,132,8,19,52,0.8720379146919431,0.8666666666666667,0.7323943661971831,0.7938931297709924,0.9079476861167002,0.7323943661971831,top_ranked
4,baseline,random_forest_classifier,128,12,14,57,0.8767772511848341,0.8260869565217391,0.8028169014084507,0.8142857142857143,0.9213279678068411,0.8028169014084507,top_ranked
4,baseline,feedforward_neural_network,132,8,23,48,0.8530805687203792,0.8571428571428571,0.676056338028169,0.7559055118110236,0.9097585513078471,0.676056338028169,top_ranked
4,smote,logistic_regression,122,18,11,60,0.8625592417061612,0.7692307692307693,0.8450704225352113,0.8053691275167785,0.9081488933601609,0.8450704225352113,top_ranked
4,smote,random_forest_classifier,126,14,13,58,0.8720379146919431,0.8055555555555556,0.8169014084507042,0.8111888111888111,0.9253521126760563,0.8169014084507042,top_ranked
4,smote,feedforward_neural_network,128,12,17,54,0.8625592417061612,0.8181818181818182,0.7605633802816901,0.7883211678832117,0.9155935613682092,0.7605633802816901,top_ranked
5,baseline,logistic_regression,124,16,19,52,0.8341232227488151,0.7647058823529411,0.7323943661971831,0.7482014388489209,0.9012072434607646,0.7323943661971831,top_ranked
5,baseline,random_forest_classifier,129,11,18,53,0.8625592417061612,0.828125,0.7464788732394366,0.7851851851851852,0.9345070422535212,0.7464788732394366,top_ranked
5,baseline,feedforward_neural_network,123,17,9,62,0.8767772511848341,0.7848101265822784,0.8732394366197183,0.8266666666666667,0.9284708249496982,0.8732394366197183,top_ranked
5,smote,logistic_regression,117,23,14,57,0.8246445497630331,0.7125,0.8028169014084507,0.7549668874172185,0.9008048289738431,0.8028169014084507,top_ranked
5,smote,random_forest_classifier,128,12,16,55,0.8672985781990521,0.8208955223880597,0.7746478873239436,0.7971014492753623,0.9341046277665996,0.7746478873239436,top_ranked
5,smote,feedforward_neural_network,127,13,12,59,0.8815165876777251,0.8194444444444444,0.8309859154929577,0.8251748251748252,0.9221327967806842,0.8309859154929577,top_ranked
1,baseline,logistic_regression,120,19,27,45,0.7819905213270142,0.703125,0.625,0.6617647058823529,0.8510191846522782,0.625,proxy_only
1,baseline,random_forest_classifier,129,10,21,51,0.8530805687203792,0.8360655737704918,0.7083333333333334,0.7669172932330827,0.8953836930455634,0.7083333333333334,proxy_only
1,baseline,feedforward_neural_network,123,16,18,54,0.8388625592417062,0.7714285714285715,0.75,0.7605633802816901,0.8932853717026379,0.75,proxy_only
1,smote,logistic_regression,107,32,14,58,0.7819905213270142,0.6444444444444445,0.8055555555555556,0.7160493827160493,0.85431654676259,0.8055555555555556,proxy_only
1,smote,random_forest_classifier,125,14,16,56,0.8578199052132701,0.8,0.7777777777777778,0.7887323943661971,0.9036770583533174,0.7777777777777778,proxy_only
1,smote,feedforward_neural_network,117,22,13,59,0.8341232227488151,0.7283950617283951,0.8194444444444444,0.7712418300653595,0.8965827338129496,0.8194444444444444,proxy_only
2,baseline,logistic_regression,101,39,27,44,0.6872037914691943,0.5301204819277109,0.6197183098591549,0.5714285714285714,0.7732394366197184,0.6197183098591549,proxy_only
2,baseline,random_forest_classifier,119,21,23,48,0.7914691943127962,0.6956521739130435,0.676056338028169,0.6857142857142857,0.8732394366197183,0.676056338028169,proxy_only
2,baseline,feedforward_neural_network,100,40,12,59,0.7535545023696683,0.5959595959595959,0.8309859154929577,0.6941176470588235,0.8609657947686117,0.8309859154929577,proxy_only
2,smote,logistic_regression,83,57,15,56,0.6587677725118484,0.49557522123893805,0.7887323943661971,0.6086956521739131,0.7712273641851106,0.7887323943661971,proxy_only
2,smote,random_forest_classifier,113,27,17,54,0.7914691943127962,0.6666666666666666,0.7605633802816901,0.7105263157894737,0.8676056338028169,0.7605633802816901,proxy_only
2,smote,feedforward_neural_network,106,34,16,55,0.7630331753554502,0.6179775280898876,0.7746478873239436,0.6875,0.8356136820925554,0.7746478873239436,proxy_only
3,baseline,logistic_regression,120,20,31,40,0.7582938388625592,0.6666666666666666,0.5633802816901409,0.6106870229007634,0.8490945674044266,0.5633802816901409,proxy_only
3,baseline,random_forest_classifier,124,16,18,53,0.8388625592417062,0.7681159420289855,0.7464788732394366,0.7571428571428571,0.9132796780684105,0.7464788732394366,proxy_only
3,baseline,feedforward_neural_network,123,17,14,57,0.8530805687203792,0.7702702702702703,0.8028169014084507,0.7862068965517242,0.9087525150905432,0.8028169014084507,proxy_only
3,smote,logistic_regression,100,40,14,57,0.7440758293838863,0.5876288659793815,0.8028169014084507,0.6785714285714286,0.8480885311871228,0.8028169014084507,proxy_only
3,smote,random_forest_classifier,112,28,13,58,0.8056872037914692,0.6744186046511628,0.8169014084507042,0.7388535031847133,0.9142857142857143,0.8169014084507042,proxy_only
3,smote,feedforward_neural_network,118,22,13,58,0.8341232227488151,0.725,0.8169014084507042,0.7682119205298014,0.9086519114688129,0.8169014084507042,proxy_only
4,baseline,logistic_regression,117,23,29,42,0.7535545023696683,0.6461538461538462,0.5915492957746479,0.6176470588235294,0.8161971830985917,0.5915492957746479,proxy_only
4,baseline,random_forest_classifier,126,14,27,44,0.8056872037914692,0.7586206896551724,0.6197183098591549,0.6821705426356589,0.8729376257545272,0.6197183098591549,proxy_only
4,baseline,feedforward_neural_network,110,30,17,54,0.7772511848341233,0.6428571428571429,0.7605633802816901,0.6967741935483871,0.8424547283702213,0.7605633802816901,proxy_only
4,smote,logistic_regression,99,41,17,54,0.7251184834123223,0.5684210526315789,0.7605633802816901,0.6506024096385542,0.8210261569416499,0.7605633802816901,proxy_only
4,smote,random_forest_classifier,121,19,19,52,0.8199052132701422,0.7323943661971831,0.7323943661971831,0.7323943661971831,0.8716297786720322,0.7323943661971831,proxy_only
4,smote,feedforward_neural_network,110,30,14,57,0.7914691943127962,0.6551724137931034,0.8028169014084507,0.7215189873417721,0.873440643863179,0.8028169014084507,proxy_only
5,baseline,logistic_regression,114,26,26,45,0.7535545023696683,0.6338028169014085,0.6338028169014085,0.6338028169014085,0.8256539235412474,0.6338028169014085,proxy_only
5,baseline,random_forest_classifier,128,12,22,49,0.8388625592417062,0.8032786885245902,0.6901408450704225,0.7424242424242424,0.9056338028169013,0.6901408450704225,proxy_only
5,baseline,feedforward_neural_network,124,16,17,54,0.8436018957345972,0.7714285714285715,0.7605633802816901,0.7659574468085106,0.9046277665995976,0.7605633802816901,proxy_only
5,smote,logistic_regression,98,42,12,59,0.7440758293838863,0.5841584158415841,0.8309859154929577,0.686046511627907,0.825251509054326,0.8309859154929577,proxy_only
5,smote,random_forest_classifier,122,18,19,52,0.8246445497630331,0.7428571428571429,0.7323943661971831,0.7375886524822695,0.9022132796780684,0.7323943661971831,proxy_only
